"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7957","Should be able to signup","Surefire suite","Wed Jun 11 12:52:59 GMT 2025","passed","Wed Jun 11 12:53:07 GMT 2025","com.qacart.vj.testcases.UserTest","Surefire test","com.qacart.vj.testcases.UserTest","shouldBeAbleToRegister"
"","9119","Should be able to delete the todo that is added","Surefire suite","Wed Jun 11 12:52:59 GMT 2025","passed","Wed Jun 11 12:53:08 GMT 2025","com.qacart.vj.testcases.TodoTest","Surefire test","com.qacart.vj.testcases.TodoTest","shouldBeAbleToDeleteTodo"
"","8821","Should be able to add a todo","Surefire suite","Wed Jun 11 12:52:59 GMT 2025","passed","Wed Jun 11 12:53:08 GMT 2025","com.qacart.vj.testcases.TodoTest","Surefire test","com.qacart.vj.testcases.TodoTest","shouldBeAbleToAddTodo"
